User Input,Chatbot Response,Timestamp
hii,Good to see you!,2024-12-10 16:03:28
g,Hello!,2024-12-10 16:03:41
hello,"Hi there, how can I help?",2024-12-10 16:20:13
what are the latest trends in educational technology,Emerging tools like virtual labs and adaptive learning platforms are making education more engaging.,2024-12-10 16:20:42
hello,Good to see you!,2024-12-10 16:24:05
dsd,Good to see you!,2024-12-10 16:28:45
dfdf,Good to see you!,2024-12-10 18:33:35
dfdf,Hello!,2024-12-10 18:39:02
hello,Hello!,2024-12-10 18:45:08
hii,"Hi there, how can I help?",2024-12-10 18:45:16
hii,Good to see you!,2024-12-10 18:58:25
scholarships,"You can explore scholarship opportunities on platforms like Scholarships.com, Chegg, or your local university's website.",2024-12-10 18:58:34
dfdf,"Hi there, how can I help?",2024-12-10 19:02:28
ai in education,Platforms like Grammarly and adaptive quizzes enhance learning efficiency.,2024-12-10 19:04:46
hello,Good to see you!,2024-12-11 14:12:31
hello,"Hi there, how can I help?",2024-12-11 16:24:57
hello,"Hi there, how can I help?",2024-12-11 16:37:51
hello,Good to see you!,2024-12-11 17:20:22
thankyou,"To cite sources properly, follow the citation style required (e.g., APA, MLA, Chicago) and ensure you provide complete and accurate bibliographic details.",2024-12-11 17:20:32
thanks,"Academic integrity refers to maintaining honesty and fairness in all academic work, including avoiding plagiarism and cheating.",2024-12-11 17:21:23
Thanks,"To avoid plagiarism, always cite your sources, paraphrase information properly, and use quotation marks when directly quoting someone’s work.",2024-12-11 17:21:40
Thanks,"If you find out a classmate is cheating, it's important to report it to the appropriate academic authorities to maintain fairness in the academic community.",2024-12-11 17:21:49
hello,Good to see you!,2024-12-11 17:25:16
Thanks,"If you find out a classmate is cheating, it's important to report it to the appropriate academic authorities to maintain fairness in the academic community.",2024-12-11 17:25:28
What can you do?,"I can assist you with answering questions, telling jokes, providing weather updates, and more!",2024-12-11 17:25:58
What can you do?,"I’m here to help with general queries, offer assistance, and just chat!",2024-12-11 17:58:36
